Acadia National Park	71.8	182.4	23.0	
Belfast	63.9	162.3	14.3
Brunswick	57.6	146.3	24.6
Eastport	57.8	146.8	29.0
Jonesboro	62.5	158.8	22.7
Kennebunkport	45.7	116.1	18.6
Newcastle	72.1	183.1	35.0
Port Clyde	51.9	131.8	19.6
Portland	61.8	157.0	27.8
Augusta	71.3	181.1	33.6
Bangor	66.1	167.9	28.4
Dover-Foxcroft	90.4	229.6	35.3
Flagstaff Lake, Long Falls Dam	106.9	271.5	49.6
Lewiston	65.6	166.6	25.1
Rangeley	121.3	308.1	63.9
Waterville	64.3	163.3	23.2
Chesuncook Lake, Ripogenus Dam	100.6	255.5	33.5
Fort Kent	97.1	246.6	37.0
Millinocket	84.1	213.6	28.9
Moosehead Lake, Brassua Dam	103.6	263.1	47.9
Presque Isle	89.6	227.6	30.5